I:\Factory\Imorder\G22104\G22104.DWG,Layout1,02/04/2023 15:04:45, ,PDFCreator,A4,1:1.62239,
I:\Factory\Imorder\R25899\R25899.DWG,Layout1,30/04/2023 13:27:55, ,PDFCreator,A4,1:1,
I:\Factory\Imorder\U2641\U2641.DWG,Model,08/06/2023 08:39:26, ,PDFCreator,A4,1:5.12515,ץרפ ירא, ץרפ ירא
I:\Factory\Imorder\G24336\G24336.DWG,Model,11/07/2023 10:18:16, ,PDFCreator,A4,1:3.80232,ץרפ ירא, ץרפ ירא
I:\Factory\Imorder\G24336\G24336.DWG,Model,11/07/2023 10:20:11, ,PDFCreator,A4,1:7.6577,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\P14017\P14017.DWG,Layout1,16/08/2023 08:38:03, ,PDFCreator,A4,1:1.2048,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\P14017\P14017.DWG,Model,16/08/2023 08:49:11, ,PDFCreator,A4,1:6.8319,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\P14017\P14017.DWG,Layout1,16/08/2023 08:49:30, ,PDFCreator,A4,1:1.2048,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\P14017\P14017.DWG,Layout1,16/08/2023 09:06:41, ,PDFCreator,A4,1:1.30444,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\P14017\P14017.DWG,Model,16/08/2023 09:08:10, ,PDFCreator,A4,1:6.23556,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\G20514\G20514.DWG,Model,23/08/2023 11:29:30, ,PDFCreator,A4,1:11.9077,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\G20514\G20514.DWG,Model,23/08/2023 11:29:47, ,מדפסת מחלקה טכנית,A4,1:8.39783,ץרפ ירא, ץרפ ירא
I:\Factory\Imorder\R24077\R24077.DWG,Model,28/09/2023 09:50:56, ,PDFCreator,A4,1:9.50691,ץרפ ירא, ץרפ ירא
I:\Factory\DELETED\G27029\G27029.DWG,Model,11/03/2024 15:13:47, ,מדפסת מחלקה טכנית,A4,1:8.59876,ץרפ ירא, ץרפ ירא
